Number,Name,Program Details,Applicants,Category,Link
1,"Accenture ","Learning2Lead, Innovation Challenge, Elevate to Innovate Externship, Student Leadership Program, Level Up",Multiple programs / Different applicant prerequisites,"Consulting, More, Operations, Technology",https://www.accenture.com/us-en/careers/life-at-accenture/internships-students
2,Abercrombie and Fitch,"Freshman Forum, Sophomore Summit, Leadership Development Program",Multiple programs / Different applicant prerequisites,"Consulting, Leadership, More, Operations, Technology",https://corporate.abercrombie.com/careers/students/
3,"Adobe University ","Maybe you want to be a data scientist or user experience designer. Or you’re looking to brush up on soft skills like creative problem-solving and communication. Or you're considering switching to a tech career. Check out some unique Adobe programs (Adobe Digital Academy, Adobe Career Academy, and specific recruiting programs at minority-serving institutions) designed to help you get to the next level. ",Multiple programs / Different applicant prerequisites,"Marketing, More, Sales, Software, Technology",https://www.adobe.com/careers/university/programs.html
4,ADP Early Career GPT,"8-week, 32-hour per week, project-based summer sales internships. An online and formal classroom training program is provided to set up the success and teach interns to prospect for new business and sell additional solutions to existing ADP clients in an assigned geographic territory. Global Product Technology (GPT) Development Program for Tech grads, both bachelors and master level students. The full-time program encompasses formal classroom training, a case study project and networking opportunities with executive leadership.","Junior, Senior","Software, Technology",https://jobs.adp.com/en/early-careers/
5,AT&T,It starts with technology. AT&T has a variety of internships and full-time programs available to take you where you want to go.,Multiple programs / Different applicant prerequisites,"Finance, More, Operations, Sales, Software, Technology","https://www.att.jobs/students#Internships,Development%20Programs,%7CAccounting,Communications,Corporate%20Development,Cybersecurity,Finance,Labs%20and%20Research,Marketing,Sales,Supply%20Chain,Technology"
6,Abbvie Co-Ops & EXCEL Externship,Jumpstart your career at AbbVie and take on challenging work that changes lives. Roles that help you develop your functional and leadership skillsets and allow you to drive AbbVie’s mission to make a remarkable impact on people’s lives.,Multiple programs / Different applicant prerequisites,"Biotechnology, Leadership, Software, Technology",https://www.abbvie.com/join-us/opportunities/student-programs.html
7,"Adidas ","After one match the next round is already waiting. That‘s how champions are born, always eager for a new challenge. Thus, we invite you to test your strengths, broaden your skills, and most likely pursue your passion for sports and lifestyle by co-creating the future within an internship at one of our locations.",Multiple programs / Different applicant prerequisites,"Fashion, HR, Marketing, More, Operations",https://careers.adidas-group.com/teams/students/internships-students?locale=en
8,Amazon University,"At Amazon, your career will grow in new and exciting directions—designed by you. You’ll have the opportunity to be part of innovative projects, lead initiatives, and take ownership and responsibility. ",Multiple programs / Different applicant prerequisites,"More, Operations, Software, Technology",https://www.amazon.jobs/content/en/career-programs/university
9,"American Express Sophomore Finance Internship, American Express Discovery Program (ADP), Insight Program - UK","During your 9-week internship, you will gain hands-on training on core analytical tools and be provided with a mentor for support. When to apply: August - September",Sophomore,Finance,https://www.americanexpress.com/en-us/careers/student-programs/global-students-page.html
10,Apple Support College Advisor Program,"When customers contact Apple for help, Advisors are their human connection: friendly, thoughtful, and real. You’ll answer questions about our products and services, and you’ll troubleshoot issues. It’s the listening skills you’ll develop that make it clear you’re not simply supporting technology — you’re supporting people.","Junior, Senior, Sophomore","Software, Technology",https://www.apple.com/careers/us/students/advisor_faq.html
11,Asana UP,"Our 12-16 week internship program focuses on bringing students currently studying at a college or university into our Engineering, Data Science, and Product Design Teams to develop and work on complex and challenging problems.","Junior, Senior","Design, Marketing, Technology",https://asana.com/jobs/intern
